cleaned,label
jelek asik main night temen mati sisa gameplay paused gameplay paused ngilang jgn download nyesel,negative
alhamdulillah update seru senang,positive
bagus iklan murah dikit beli mahal murah dikit sekian,positive
kasih bintang bagus map map mabar candu main,positive
main lot buruk sekali error,negative
jelek,negative
kesini jelek buruk sekali nyedott koutaa ber ber fix inimah mending huu,negative
tidak bisa login login baca eror tolong,negative
suka avatar world bagus,positive
buruk uptade,negative
main bagus tidak bisa dapet gratis tolong benerin,neutral
bagus seru kadang radak bug,neutral
suka pilih and yap like cuman tolong hbs diupdate jan ubah fitur fitur untk layar arah pusing,neutral
seru senang kesel,neutral
seru mabar temen bawa ketawa ketiwi trss hehee map towernya plg sukaa,positive
bagus lumayan ngilangin gabut,neutral
ban coba gara gara terima rusuh hacker ban karna menganggu player kocak,negative
bagus,positive
tidak dapat masuk map ngestag logo tolong developer tidak usah ntah tidak usah kelen,negative
enak terima kasih,positive
cuman kadang akun lag,neutral
seru tantang suka,positive
tidak bisa login laptop login akun tolong respon memori,negative
seru nyaman mainin,positive
ngebug tidak bisa tlol,negative
seru,positive
senang ganti skin main tower map,positive
bagus dunia,positive
seru tidak ada iklan mabar teman,positive
scret scret tolong jngan sulit ngandelin hoki sii abis bnyk topup,negative
bagus seru mabar temen bug kesel beli baju aneh esok pakai baju ngeblur sekian terimakasih jan lupa bug,neutral
seru namatin tower graw garden seru,positive
ngebug sinyal bagus main map tolong bantu min rating buriqq,negative
lumayan bagus,neutral
suka seru bagus fitur fiturnya,positive
lambat bikin marah,negative
seru dehh nenangin,positive
jelek lambat,negative
rusak sinyal bagus gbisa login ava tidak muncul,negative
sampah lihat bug mending main minecraft seru map lai tidak mau main rablox karna bug,negative
lag buruk sekali kacau wifi lancar kacau,negative
bagus suka,positive
ban permanen alas sepi depa,negative
burik akun kena ambil orang,negative
bagus bug salah mic kode error salah mic mic bicara tidak parah tidak kata kasar ban salah kode error main salah map disconnect kode error singkat error tidak tahu data wifi lancar,neutral
bangus login main mohon nikmat terimakasih,positive
tolong bug mohon ngebug sampe panas,negative
seru bagus,positive
mic suara tidak jelas,negative
good,positive
dasar tidak taudiri bannyak bug bangsat,negative
seru update update,neutral
mohon maaf tidak suka tidak bisa upgrade,neutral
server full loading wifiku sdh cepet,negative
pake wifi kadang suka lambat,negative
enak main map,positive
help tidak bisa masuk sinyal bagus solusi join,neutral
kesini lag buruk sekali sinyal full lost konek lol,negative
eror,negative
bagus seru lag grafik gaada baju kepala dll wifi bagus mohon rindu main,neutral
seru leg tidak bisa login sinyal bagus tolong,neutral
main model susah susah simpan muat simpan sia sia begadang model tolong blokir tidak kembali model kuu,negative
dasar tidak cus kena banned cuman nyapa orang scriptter biarin loading jam tidak kelar wifi bagus play paused,negative
bagus mabar teman teman main map serah main seru keren apl sosial apl facebook bagus tolong update,positive
gjls tidak toxic kena ban mulu,negative
fix bug jaring pulau masuk underground ping jelek,negative
bagus pake kadang baju ava suka blur tolong,neutral
tidak bisa main tidak kompatible perangkat mohon perangkat main,negative
jelek simpan akun email tidak bisa,negative
bagus kadang jalan loncat loncat ngeselin kena disconnect mohon,neutral
seru bareng teman ngobrol bareng,positive
jaring aku lancar tidak bisa masuk kocak baik diperbaikin,negative
eror suruh reset password hilang akun permanen harap,negative
seru main,positive
bagus cuman grafik ngga atur mode smooth patah main virtual blox fruit rangin grafik cuman jarak jangkau lihat patah tolong developer,neutral
bagus graviknya,positive
lumayan tidak punya teman kasih bintang,positive
sampah cheater,negative
seru,positive
bagus tarik baju free gratis bagus,positive
good permainanya seru,positive
cool,positive
tidak senang karna tidak sengaja tekan tombol log out putus login akun masuk password nolak kasih bintang karna,negative
bagus cuman bug,neutral
apasih lambat mulu make wifi pake data seluler lancar boros coba nyaman,negative
gila candu gara gara seru buset asik asik,positive
avatarku map blur,negative
tidak senang games nama fisch akun fisch banned aju banding tidak di notif,negative
bagus kadang lambat gapapa,neutral
rusak,negative
hebat,positive
good,positive
bagus hibur seru main santai,positive
bagus main main cocok orang galau nenangin menang,positive
suka karna main like,positive
bagus cuman suka lambat ngomong suka sensor,neutral
seru main malam main pake data,positive
bagus grafik bagus butuh wifi,positive
seru map map ngebug kasih,neutral
tidak bisa login gangguwan koneksi cek engga gangguwan tolong bantu,negative
keren,positive
main seru bagus,positive
akun gabisa pakai ganti akun perbaikin bug jelek,negative
bagus sebel update suruh update sampe sampe memori kena tolong benerin suruh update update suruh update,negative
main rame seru,positive
pilih gameplay bagus hibur main bareng temen poko serudeh,positive
hilang akses email kait akun hubung customer service tolak bukti milik akun kecewa,negative
anjir iternet penu mala coba eror gunung,negative
bagus,positive
error masuk,negative
mantap seru,positive
bagus suka tolong update nyari update sekian terimakasih,neutral
dasar fomo ngerusak otak burik,negative
bagus tolong alami render main padahl internet bagus bagus,neutral
apasih lambat aneh,negative
baguss keren mudah temen pokok seru ajah,positive
keren bagus,positive
bagus suka,positive
seru,positive
tidak jelas internet bagus tidak bisa masuk,negative
makin kesini makin lemot sinyal,negative
benerin bug tombol lompat map parkour pencet tidak lompat,negative
lambat operasi kadang jaring tidak stabil tidak seperti jalan normal milik gudang server tarik bebas main nilai plus,neutral
gratis,positive
seruu bangett mabar bareng temen tower milih seruu bangett maacihh gabut bosen tidak bosen,positive
bug jaring,negative
sinyal wifi data bagus pakai main lambat aneh,negative
enak main mabar,positive
suka karna teman mabar main,positive
seru map daki gunung mancing mabar bareng temen pacar,positive
sampe lambat mati gara gara main,negative
tidak bisa login tulis eror,negative
senang seru,positive
bagus orang disconetc karna menganggu main,neutral
jaring jelek,negative
nice,positive
login akun tidak bisa bug ulang ulang,negative
keren bayak map,positive
avatar ngeblur,negative
seru body latina gratis,positive
server error,negative
woy tidak bisa main error,negative
tidak suka copy avatar hapus koneksi blokir nama capek baca aminn,negative
keren,positive
jelek buruk sekali masuk periksa koneksi internet internet tali tidak bisa masuk jelek,negative
tolong mode offline online sinyal dapet disconnect sinyal,negative
grafik disain bagus cuman disconnect server mohon disconnect kadang sampe tidak bisa masuk pakai kuota main lambat patah patah gera mohon wajib internet kualitas sinyal bagus,neutral
bagus main keren suka ngebug,neutral
bagus mulu main gunung,positive
ngecheat main cheat tolong ban cheater cape ketemu cheater mulu maen tenang bisaa bintang,negative
this favorite games forever,positive
seru wajib coba umur hidup seru coba,positive
tidak jelas server benerin sono lambat,negative
map seru map map,positive
kena banned komentar kalimat salah sangka lambat main handphone android anak anak korban candu main,negative
hapus curi brainrod curi ikan lambat base base buka server maling,negative
