ulasan,label_model,label_llm
tidak suka,neutral,
hacker korban,negative,
main pulang sekolah asar hihihihihihi tagih lohh yuk mari cobainn teman teman siyal wifi tidak ngelag keluarin bug bug bug menggangu mohon pesan assalamualaikum,negative,
bagus,positive,
nyalain mic crash,negative,
cool,negative,
bagus sampe tagih main,positive,
top,negative,
cocok main,positive,
lumayan bagus main keluarin,neutral,
seru mobel lejeds blokir tidak bisa masuk akun akun udin terkudinkudin blokir donglot robl tidak bisa masuk akun,negative,
bagus,positive,
update mulu lag mulu update mulu njing capek main susah gimana suka anak aneh aneh,neutral,
apdetan memori penuh,negative,
main tolong,negative,
gamee terseruu,negative,
seru,positive,
geam bagus,positive,
seru,positive,
tidak suka tower susah orang tower tua caper,positive,
fiturnya ngelex seru suka,positive,
baguss kerenn suka,positive,
seru steal branrot grow garden seru main jujur seru aga seru anomali seru hecker seru tolong anomali alu suka anomali,positive,
seru asik senang hacker,positive,
bagus suka suka korblox harga mahal tidak saja,positive,
main samgat seru tantang terimakasih developer,positive,
dak,negative,
seru main tidak saya suka,positive,
ama,negative,
senang main teman,positive,
kepiting gabut,negative,
seruu lambat muluu,negative,
bagus maina,positive,
tuff,negative,
bagus update menuhin simpan,neutral,
seruu,positive,
mayan bagus,positive,
fun,negative,
sumpill baguss bangett gamee tolongg mapo brookhaven kasihh body gratiss,negative,
terima kasih developer hidup warna suka daki bole harga ava rangin upgrade kembang,positive,
apekk,negative,
bagus minus minus sinyal paham sinyal karna koneksi koneksi masuk akal tenang tower tenang tower tidak bikin tenang asikk minus cuman sinyal aksesoris gratis banyakin,negative,
kasih,positive,
minus cuman boros kouta,neutral,
bagus,positive,
main serang gambar tidak bisa umur main,negative,
sery,negative,
bagus,positive,
gam bagus,positive,
tidak bosan mainanya,positive,
main asik,positive,
sungguh tarik orang sungguh tarik keren hasil uang,positive,
seru map main mabar teman sahabat pilih map coba cobain asik,positive,
seru,positive,
tinggal akuu,negative,
bagus grafik pokok mantap kembang bagus main sekian terima kasih,positive,
seru bagus wow amazing but log out data tidak stabill,positive,
enak diskonek males main,positive,
brookhaven ngilang ngilang semenjak biru ubah tolong,negative,
seru coba login tidak bisa akun bobol,negative,
gajelass najiss gatau lag pdhal jaring lancar buka tidak ngeleg lambat gliran main loading nunggu jam,negative,
bagus main,positive,
bagus sumpahh,positive,
karna senang pensiun,positive,
senang main main,positive,
suka orang main seru kasih bintang,positive,
eror coo,negative,
hencet,negative,
map milik admin songong,positive,
seru evolusi fiturnya bagus evolusi capybara fiturnya bagus alam developer selamat malam,positive,
kagum,negative,
main bocil bitj tolong kasih batas umur tolong mai loves much,neutral,
bagus smua,positive,
mantap enak,positive,
omg suka,positive,
sebernarnya bagus bug ngeselin bug kamera gampang gerak bug main disconect server privat hubung server publik segitu tetep bagus,negative,
seru,positive,
main seru mabar bareng taman pacar orang introvert teman suka map grow garden mabar yok nama diachan add,positive,
tidak guna orang lupa sampee cewe lupa samaa giat huh bintang nol,negative,
seruu,positive,
lag pdhal jarungan bagus muter muter mulu memek,neutral,
seru malam suka mimin tolong malam melihara hewan pelihara hewan tidak asik hewan ngebunuh anut agama serigala,neutral,
main sayang,positive,
main bagus cuyy,positive,
tidak bisa download dihape kentang,negative,
pokok bagus bintang kasih bintang,positive,
keren abis kasih bintang teman nama nama veteran gamesfamily,positive,
seru senang main teman teman,positive,
bagus ubde kalduarsa,positive,
suka fisch plants brainbrot and grow garden,positive,
kasi bintang karna banya update ngin min update,neutral,
bagus lambat tolong dibenerin loncat lambat jatoh,negative,
kagum map seru map motor motor suka,positive,
kikir tidak di ksh ksh ghostfin kost minggu isle,negative,
bicara kasar jorang,negative,
bagus main map lambat ngebug mulu,negative,
senang suka server tolong tidak ngeleg,negative,
seru bangettrr bange upgrade memori penuhh,positive,
bagus date memo penuh,positive,
banya bug,negative,
ngblokir orang rundung gadi gadi,negative,
enak,positive,
bagus seru,positive,
seru bug dibetulin bug lapor contoh jaring hilang dunia nyata lancar server error mental,negative,
bagus bug sulit main roblok jaring jaring bagus pental,neutral,
wihh seru mabar teman teman pesta seru bangett,positive,
baguss sukakk,negative,
keren,positive,
auto log out akun password this ganti cook refund,negative,
seru tower main tower engga mainin sinyal bagus ajak seruu bagusin,positive,
bags dapet aksoris map main ama ramai orang,positive,
seruu dapet temen,positive,
minus jaring stabil aneh ban,negative,
seru alam virtual yng seru tolong bug masuk map alam virtual suka loadingnya jdi ngebosenin sinyal internetnya bagus tolong lgi bug kasih bintang dlu bug kasih bintang,neutral,
seru teman orang bintang,positive,
coba main malam hutan seru suka,positive,
seru,positive,
seru bagus,positive,
main teman steal hak,positive,
seru pake,positive,
bagus suka bug tolong kasih bintang,positive,
seruu,positive,
bagus seru main,positive,
bagus seru cocok umur gantung map keluh tolong basmi hacker cheat sangan menganggu ekosistem,neutral,
sugito,negative,
asu ama usn error jelekk admin tidak jelas log out top transaksi tolak asu boong anjay papale papale bagus,negative,
bot,negative,
suka,positive,
kembaliin akun,negative,
sukakk bett,negative,
main seru teman mabar,positive,
masuk langsung,negative,
like this,negative,
seruu,positive,
maaf ngebug kadang,neutral,
lag mulu ajg wifi normal normal dongo emang tlol tlol,negative,
tampa alas,negative,
can you fix the network problem want play but can because the excessive lag have updated upgraded mbps and others but still lag lag lag and lag,neutral,
kasih rating player toxic,negative,
main seru,positive,
main tanam brainot hilang sambung aneh mending minecraft,negative,
seru lambat gunung,positive,
nowadays had many bugs mean the clothes shirt pants trousers this very annoying give one star,positive,
lumayan main,neutral,
sumpah seru sedih hepi,positive,
halo sayang enak,positive,
bagus grafik controlnya terkadang bug mohon bagus pokok seru pilih tidak ngebosenin dapet alam,neutral,
gemnya bagus,positive,
bakgus,negative,
seru main,positive,
seru mohon hilang bak sekian terimakasih,neutral,
open the application and keeps loading playing other games very smooth,positive,
bad,negative,
akunbaru besok dimaininmasa suruh login tolong,negative,
jenis,negative,
bagus minus masuk lambat pake data,negative,
tidak bisa,negative,
bagus minus suara tikus jebit pintu,positive,
jlk tidak kyk pazu,negative,
main seru,positive,
tidak bisa main brooaven maaf typo,negative,
boros pakai data,negative,
suka main,positive,
gemnya bagus ubdet mbnya maaf orang tidak mendukum gimana suka mohon maaf yng salah,neutral,
pandang sinyal,negative,
hidup fish,negative,
bagus seru,positive,
suka main gag ngeleh main jaring bagus biasany lambat kad sab brainrot cur tralaledon tolong terima kasih,neutral,
baguss mabar org kota negeri bagus chat chat,positive,
sya sdh update suruh update padhl jaring bagus tetep lambat,neutral,
keren,positive,
bagus mabar ganti nama temen bug tolong,positive,
bagus terhinur,positive,
seru,positive,
tolong hapus avatar zepeto rusak ciri khas,negative,
bug,negative,
seru make data seru mabar obby tower menara bagus seru nagih renti karna asi,positive,
karna seruu,positive,
seru cihuyss,positive,
seru suka steal brainrot seru asik,positive,
bagus suka mai akun kucing lucu abc mai gag malan hutan,positive,
seru anak contoh umur tarik bye,positive,
ter tolol jir dapet crimson tron,negative,
seru uyy cobainn,positive,
bagus suka,positive,
gemenya bagus gene anomali seru,positive,
emang seru habis main public tidak bisa main server private tolong bug,negative,
suka inti,positive,
bagus tidak dukung bahasa kasar sensor mohon sistem sensor terima kasih,neutral,
gimana stiap main koneksi putus jaring bagus akun uninstall download,neutral,
addep,negative,
tolong upgrade langsung mengupgrade tolong,negative,
aneh dikit dikit ban mic tidak ada ngomong kasar usia dewasa aneh sumpah males main aneh jngan harap topup,negative,
karakter sus enak,positive,
hai mor tim sokikmo,negative,
bagus,positive,
suka main brookhaven keluarga atapun teman,positive,
seru pilih,positive,
